Nom,Prenom,"Type de Contrat","Congés Posés (jours)","Congés restant (jours)","Total réel (heures)","Heures supplementaires","Absence justifiée","Absence non justifiée"
Decembre,Chris,CDD,2,26,8,2,1,0
Decembre,Chris,CDD,0,26,4,0,0,0
Decembre,Chris,CDD,2,26,8,2,1,0
Decembre,Chris,CDD,2,26,8,2,1,0
Decembre,Chris,CDD,0,26,8,2,1,0
Decembre,Chris,CDD,2,26,4,0,0,0
Decembre,Chris,CDD,0,26,2,1,0,2
Decembre,Chris,CDD,2,26,8,2,1,0
Decembre,Chris,CDD,2,26,8,2,1,0
Decembre,Chris,CDD,0,26,4,0,0,0
Decembre,Chris,CDD,2,26,8,2,1,0
Decembre,Chris,CDD,2,26,8,2,1,0
