Nom,Prenom,"Type de Contrat","Congés Posés (jours)","Congés restant (jours)","Total réel (heures)","Heures supplementaires","Absence justifiée","Absence non justifiée"
PAiLLASSA,Nylan,CDI,0,0,0,0,0,12
PAiLLASSA,Nylan,CDI,0,0,0,0,0,0
PAiLLASSA,Nylan,CDI,0,0,0,0,0,0
PAiLLASSA,Nylan,CDI,0,0,0,0,0,0
PAiLLASSA,Nylan,CDI,0,0,0,0,0,0
PAiLLASSA,Nylan,CDI,0,0,0,0,0,0
PAiLLASSA,Nylan,CDI,0,0,0,0,0,0
PAiLLASSA,Nylan,CDI,0,0,0,0,0,0
PAiLLASSA,Nylan,CDI,0,0,0,0,0,0
PAiLLASSA,Nylan,CDI,0,0,0,0,0,0
PAiLLASSA,Nylan,CDI,0,0,0,0,0,0
PAiLLASSA,Nylan,CDI,0,0,0,0,0,0
